CMDLINE /usr/local/opt/python/bin/python3.7 __main__.py
MEM 259.566406 1567887095.7981
MEM 259.664062 1567887095.8994
MEM 259.742188 1567887096.0046
MEM 259.839844 1567887096.1096
MEM 259.925781 1567887096.2141
MEM 260.011719 1567887096.3153
MEM 260.093750 1567887096.4155
MEM 260.164062 1567887096.5194
MEM 260.265625 1567887096.6234
MEM 260.339844 1567887096.7266
MEM 260.410156 1567887096.8308
MEM 260.507812 1567887096.9336
MEM 260.574219 1567887097.0338
MEM 260.664062 1567887097.1376
MEM 260.765625 1567887097.2422
MEM 260.824219 1567887097.3461
MEM 260.917969 1567887097.4482
MEM 261.007812 1567887097.5492
MEM 261.070312 1567887097.6493
MEM 261.171875 1567887097.7495
MEM 261.230469 1567887097.8517
MEM 261.320312 1567887097.9526
MEM 261.394531 1567887098.0532
MEM 261.464844 1567887098.1573
MEM 261.593750 1567887098.2620
MEM 261.660156 1567887098.3641
MEM 261.761719 1567887098.4643
MEM 261.820312 1567887098.5652
MEM 261.886719 1567887098.6660
MEM 261.984375 1567887098.7668
MEM 262.046875 1567887098.8696
MEM 262.121094 1567887098.9709
MEM 262.195312 1567887099.0729
MEM 262.277344 1567887099.1773
MEM 262.339844 1567887099.2781
MEM 262.441406 1567887099.3790
MEM 262.515625 1567887099.4808
MEM 262.593750 1567887099.5809
MEM 262.683594 1567887099.6819
MEM 262.746094 1567887099.7852
MEM 262.945312 1567887099.8904
MEM 263.160156 1567887099.9956
MEM 263.253906 1567887100.0988
MEM 263.324219 1567887100.1990
MEM 263.421875 1567887100.3021
MEM 263.496094 1567887100.4042
MEM 263.554688 1567887100.5056
MEM 263.617188 1567887100.6075
MEM 263.671875 1567887100.7094
MEM 263.738281 1567887100.8141
MEM 263.816406 1567887100.9142
MEM 263.871094 1567887101.0152
MEM 263.949219 1567887101.1154
MEM 264.019531 1567887101.2164
MEM 264.070312 1567887101.3185
MEM 264.128906 1567887101.4189
MEM 264.187500 1567887101.5228
MEM 264.261719 1567887101.6254
MEM 264.347656 1567887101.7286
MEM 264.425781 1567887101.8307
MEM 264.492188 1567887101.9309
MEM 264.574219 1567887102.0325
MEM 264.652344 1567887102.1327
MEM 264.730469 1567887102.2329
MEM 264.804688 1567887102.3342
MEM 262.171875 1567887102.4385
MEM 262.257812 1567887102.5434
MEM 262.320312 1567887102.6473
MEM 262.410156 1567887102.7499
MEM 262.480469 1567887102.8551
MEM 262.558594 1567887102.9603
MEM 262.640625 1567887103.0640
MEM 262.707031 1567887103.1658
MEM 262.781250 1567887103.2660
