index,batch_size,cells,look_back,loss,optimizers,status
270,[1],[1],[3],-0.7602978348731995,[2],ok
271,[2],[1],[3],-0.6874327659606934,[2],ok
272,[1],[1],[3],-0.8119063377380371,[2],ok
273,[1],[1],[1],-0.14141413569450378,[2],ok
274,[5],[3],[3],-0.6838224530220032,[2],ok
275,[3],[1],[3],-0.6874327659606934,[2],ok
276,[1],[0],[4],-0.21052628755569458,[2],ok
277,[1],[5],[0],-0.20202021300792694,[2],ok
278,[1],[1],[3],-0.7184452414512634,[1],ok
279,[4],[4],[3],-0.6890645027160645,[2],ok
280,[0],[1],[3],-0.6334922313690186,[0],ok
281,[1],[2],[2],-0.6717948913574219,[2],ok
282,[2],[1],[1],-0.166666641831398,[2],ok
283,[1],[1],[3],-0.7602978348731995,[2],ok
284,[5],[1],[3],-0.6874327659606934,[2],ok
285,[1],[3],[4],-0.18518517911434174,[1],ok
286,[3],[1],[3],-0.6874327659606934,[2],ok
287,[1],[0],[0],-0.0,[0],ok
288,[1],[5],[3],-0.660620391368866,[2],ok
289,[0],[4],[3],-0.5931217074394226,[2],ok
290,[4],[1],[3],-0.6874327659606934,[2],ok
291,[1],[2],[2],-0.6406837105751038,[2],ok
292,[2],[1],[1],-0.166666641831398,[2],ok
293,[1],[1],[3],-0.7184452414512634,[1],ok
294,[1],[1],[3],-0.7602978348731995,[2],ok
295,[5],[3],[4],-0.0,[0],ok
296,[1],[0],[3],-0.18518517911434174,[2],ok
297,[3],[1],[0],-0.1874999850988388,[2],ok
298,[1],[1],[3],-0.7649244666099548,[2],ok
299,[1],[5],[3],-0.640740692615509,[2],ok
300,[0],[4],[3],-0.6259259581565857,[2],ok
301,[4],[1],[2],-0.1818181723356247,[1],ok
302,[1],[2],[1],-0.14141413569450378,[2],ok
303,[1],[1],[3],-0.37719297409057617,[0],ok
304,[2],[1],[3],-0.6874327659606934,[2],ok
305,[1],[1],[4],-0.2495495229959488,[2],ok
306,[1],[3],[3],-0.7778459191322327,[2],ok
307,[5],[1],[3],-0.6874327659606934,[2],ok
308,[3],[0],[3],-0.18518517911434174,[2],ok
309,[1],[1],[3],-0.74665766954422,[1],ok
310,[1],[5],[2],-0.689976692199707,[2],ok
311,[0],[1],[0],-0.21568626165390015,[0],ok
312,[4],[4],[1],-0.16161614656448364,[2],ok
313,[1],[2],[3],-0.8237898945808411,[2],ok
314,[1],[2],[3],-0.6848484873771667,[2],ok
315,[2],[2],[3],-0.6732483506202698,[2],ok
316,[1],[2],[4],-0.23703701794147491,[2],ok
317,[5],[2],[0],-0.17204298079013824,[1],ok
318,[1],[2],[3],-0.7602978348731995,[2],ok
319,[1],[2],[3],-0.8159467577934265,[2],ok
320,[3],[2],[3],-0.0,[0],ok
321,[1],[2],[2],-0.6892551779747009,[2],ok
322,[0],[1],[1],-0.1458333283662796,[2],ok
323,[1],[2],[3],-0.6561264395713806,[2],ok
324,[1],[2],[3],-0.7707335948944092,[2],ok
325,[4],[2],[3],-0.6787988543510437,[2],ok
326,[1],[2],[4],-0.18518517911434174,[1],ok
327,[2],[1],[0],-0.0,[0],ok
328,[1],[2],[3],-0.8159467577934265,[2],ok
329,[5],[2],[3],-0.6838224530220032,[2],ok
330,[1],[2],[3],-0.8099567294120789,[2],ok
331,[3],[2],[3],-0.6787988543510437,[2],ok
332,[1],[1],[2],-0.6654456257820129,[2],ok
333,[0],[3],[1],-0.16161614656448364,[1],ok
334,[1],[0],[3],-0.18518517911434174,[2],ok
335,[4],[1],[4],-0.0,[0],ok
336,[1],[1],[3],-0.7602978348731995,[2],ok
337,[2],[5],[0],-0.1874999850988388,[2],ok
338,[1],[2],[3],-0.7602978348731995,[2],ok
339,[1],[4],[3],-0.6571528315544128,[2],ok
340,[5],[2],[3],-0.6890645027160645,[2],ok
341,[1],[3],[3],-0.7056376934051514,[2],ok
342,[1],[0],[2],-0.2095237821340561,[1],ok
343,[3],[5],[1],-0.166666641831398,[2],ok
344,[0],[4],[3],-0.6476103663444519,[0],ok
345,[1],[2],[3],-0.7602978348731995,[2],ok
346,[4],[2],[4],-0.18518517911434174,[2],ok
347,[1],[0],[3],-0.18518517911434174,[2],ok
348,[1],[1],[0],-0.20202021300792694,[2],ok
349,[2],[3],[3],-0.6890645027160645,[2],ok
350,[1],[4],[3],-0.6874327659606934,[1],ok
351,[5],[5],[3],-0.6838224530220032,[2],ok
352,[1],[2],[2],-0.6079716086387634,[0],ok
353,[3],[3],[1],-0.166666641831398,[2],ok
354,[1],[2],[3],-0.8159467577934265,[2],ok
355,[1],[0],[3],-0.19819818437099457,[2],ok
356,[0],[5],[4],-0.26719576120376587,[2],ok
357,[4],[1],[3],-0.6818181872367859,[2],ok
358,[1],[4],[0],-0.20202021300792694,[1],ok
359,[2],[2],[3],-0.6838224530220032,[2],ok
360,[1],[1],[3],-0.22027289867401123,[0],ok
361,[1],[1],[3],-0.8237898945808411,[2],ok
362,[5],[1],[2],-0.5086138248443604,[2],ok
363,[1],[1],[1],-0.14141413569450378,[2],ok
364,[1],[3],[3],-0.7399604916572571,[2],ok
365,[3],[2],[3],-0.6838224530220032,[2],ok
366,[0],[0],[4],-0.18518517911434174,[1],ok
367,[1],[5],[3],-0.6712779402732849,[2],ok
368,[1],[1],[0],-0.21568626165390015,[0],ok
369,[1],[4],[3],-0.6764309406280518,[2],ok
370,[4],[1],[3],-0.6826141476631165,[2],ok
371,[2],[2],[3],-0.6890645027160645,[2],ok
372,[1],[1],[2],-0.6406837105751038,[2],ok
373,[5],[1],[3],-0.6874327659606934,[2],ok
374,[1],[3],[1],-0.1458333283662796,[1],ok
375,[1],[1],[3],-0.7602978348731995,[2],ok
376,[3],[2],[3],-0.6890645027160645,[2],ok
377,[0],[1],[4],-0.19819818437099457,[0],ok
378,[1],[5],[3],-0.660620391368866,[2],ok
379,[4],[0],[3],-0.18518517911434174,[2],ok
380,[1],[4],[0],-0.20202021300792694,[2],ok
381,[1],[2],[3],-0.8300652503967285,[2],ok
382,[1],[2],[3],-0.753302276134491,[2],ok
383,[2],[1],[2],-0.1818181723356247,[1],ok
384,[1],[2],[3],-0.6942760944366455,[2],ok
385,[5],[1],[1],-0.0,[0],ok
386,[1],[2],[3],-0.7237284183502197,[2],ok
387,[3],[2],[4],-0.18518517911434174,[2],ok
388,[1],[1],[3],-0.8237898945808411,[2],ok
389,[1],[2],[0],-0.20202021300792694,[2],ok
390,[0],[2],[3],-0.8065814971923828,[2],ok
391,[1],[1],[3],-0.6890645027160645,[1],ok
392,[4],[3],[2],-0.5597326159477234,[2],ok
393,[1],[2],[3],-0.37719297409057617,[0],ok
394,[2],[0],[1],-0.1458333283662796,[2],ok
395,[1],[1],[3],-0.7893815040588379,[2],ok
396,[5],[2],[3],-0.6890645027160645,[2],ok
397,[1],[2],[4],-0.23703701794147491,[2],ok
398,[1],[2],[3],-0.7429558634757996,[2],ok
399,[3],[2],[0],-0.17204298079013824,[1],ok
400,[1],[2],[3],-0.8177997469902039,[2],ok
401,[1],[1],[3],-0.8159467577934265,[2],ok
402,[1],[2],[3],-0.8300652503967285,[2],ok
403,[1],[2],[3],-0.699999988079071,[2],ok
404,[1],[2],[3],-0.8237898945808411,[2],ok
405,[1],[2],[3],-0.7602978348731995,[2],ok
406,[1],[2],[3],-0.8237898945808411,[2],ok
407,[1],[2],[3],-0.7592923045158386,[2],ok
408,[1],[2],[3],-0.7802324891090393,[2],ok
409,[1],[2],[3],-0.8237898945808411,[2],ok
410,[1],[2],[3],-0.6818181872367859,[2],ok
411,[1],[2],[3],-0.8177997469902039,[2],ok
412,[1],[2],[3],-0.8237898945808411,[2],ok
413,[1],[2],[3],-0.7602978348731995,[2],ok
414,[1],[2],[3],-0.7369508743286133,[2],ok
415,[1],[2],[3],-0.762896716594696,[2],ok
416,[1],[2],[3],-0.8237898945808411,[2],ok
417,[1],[2],[3],-0.8237898945808411,[2],ok
418,[1],[2],[3],-0.8195503354072571,[2],ok
419,[1],[2],[3],-0.7464645504951477,[2],ok
420,[1],[5],[3],-0.640740692615509,[2],ok
421,[0],[2],[3],-0.6642029881477356,[2],ok
422,[1],[2],[3],-0.7602978348731995,[2],ok
423,[4],[4],[3],-0.7524547576904297,[2],ok
424,[2],[2],[3],-0.6835141181945801,[2],ok
425,[1],[2],[3],-0.6723043918609619,[2],ok
426,[1],[2],[2],-0.6406837105751038,[2],ok
427,[5],[1],[3],-0.0,[0],ok
428,[1],[2],[1],-0.14141413569450378,[2],ok
429,[1],[2],[3],-0.699999988079071,[2],ok
430,[1],[2],[4],-0.23703701794147491,[2],ok
431,[3],[2],[3],-0.6890645027160645,[2],ok
432,[1],[2],[0],-0.20202021300792694,[2],ok
433,[0],[2],[3],-0.6358602046966553,[2],ok
434,[1],[2],[3],-0.7778459191322327,[2],ok
435,[4],[1],[2],-0.1818181723356247,[1],ok
436,[1],[2],[3],-0.8210678100585938,[2],ok
437,[1],[2],[3],-0.6961240172386169,[2],ok
438,[2],[3],[1],-0.0,[0],ok
439,[5],[2],[3],-0.6890645027160645,[2],ok
440,[1],[2],[3],-0.6961240172386169,[2],ok
441,[1],[5],[4],-0.24385960400104523,[2],ok
442,[1],[0],[0],-0.20202021300792694,[2],ok
443,[3],[1],[3],-0.6757369041442871,[1],ok
444,[1],[2],[3],-0.7334420084953308,[2],ok
445,[1],[2],[3],-0.7778459191322327,[2],ok
446,[0],[2],[2],-0.6773503422737122,[2],ok
447,[4],[3],[3],-0.0,[0],ok
448,[1],[2],[3],-0.7464645504951477,[2],ok
449,[1],[2],[1],-0.14141413569450378,[2],ok
450,[2],[2],[3],-0.6838224530220032,[2],ok
451,[1],[2],[3],-0.8099567294120789,[2],ok
452,[5],[2],[4],-0.18518517911434174,[2],ok
453,[3],[0],[0],-0.20202021300792694,[1],ok
454,[1],[4],[3],-0.6845958828926086,[2],ok
455,[1],[2],[3],-0.37719297409057617,[0],ok
456,[0],[5],[3],-0.6352203488349915,[2],ok
457,[1],[2],[3],-0.6764309406280518,[2],ok
458,[4],[2],[2],-0.5029239654541016,[2],ok
459,[1],[4],[3],-0.660620391368866,[2],ok
460,[1],[2],[1],-0.14141413569450378,[2],ok
461,[1],[0],[3],-0.18518517911434174,[1],ok
462,[2],[2],[3],-0.6838224530220032,[2],ok
463,[1],[2],[4],-0.23703701794147491,[2],ok
464,[5],[2],[3],-0.0,[0],ok
465,[1],[2],[0],-0.20202021300792694,[2],ok
466,[3],[3],[3],-0.7127213478088379,[2],ok
467,[1],[5],[3],-0.660620391368866,[2],ok
468,[1],[2],[3],-0.6612794399261475,[2],ok
469,[1],[2],[3],-0.7369508743286133,[2],ok
470,[0],[2],[2],-0.6551281809806824,[2],ok
471,[4],[2],[1],-0.166666641831398,[2],ok
472,[1],[2],[3],-0.7127213478088379,[1],ok
473,[1],[2],[3],-0.7489458918571472,[2],ok
474,[5],[4],[0],-0.0,[0],ok
475,[1],[3],[4],-0.23703701794147491,[2],ok
476,[2],[2],[3],-0.6787988543510437,[2],ok
477,[3],[1],[3],-0.6924564242362976,[2],ok
478,[1],[2],[3],-0.7707335948944092,[2],ok
479,[1],[2],[3],-0.6961240172386169,[2],ok
480,[1],[2],[2],-0.5597326159477234,[1],ok
481,[1],[2],[3],-0.7707335948944092,[2],ok
482,[1],[0],[1],-0.1458333283662796,[0],ok
483,[0],[2],[3],-0.6086474061012268,[2],ok
484,[4],[2],[3],-0.6732483506202698,[2],ok
485,[2],[5],[4],-0.18518517911434174,[2],ok
486,[1],[1],[0],-0.20202021300792694,[2],ok
487,[1],[2],[3],-0.7602978348731995,[2],ok
488,[1],[2],[3],-0.6904861927032471,[2],ok
489,[5],[4],[3],-0.6646258234977722,[1],ok
490,[3],[2],[3],-0.6890645027160645,[2],ok
491,[1],[2],[3],-0.8159467577934265,[2],ok
492,[1],[0],[2],-0.2095237821340561,[0],ok
493,[1],[3],[1],-0.1458333283662796,[2],ok
494,[0],[5],[3],-0.6154882311820984,[2],ok
495,[4],[2],[3],-0.6874327659606934,[2],ok
496,[1],[4],[4],-0.23703701794147491,[2],ok
497,[1],[2],[3],-0.6612794399261475,[2],ok
498,[2],[1],[3],-0.6896195411682129,[1],ok
499,[1],[2],[0],-0.20202021300792694,[2],ok
500,[5],[1],[3],-0.0,[0],ok
501,[1],[2],[3],-0.7707335948944092,[2],ok
502,[3],[1],[2],-0.5086138248443604,[2],ok
503,[1],[2],[3],-0.7524547576904297,[2],ok
504,[1],[2],[1],-0.14141413569450378,[2],ok
505,[1],[3],[3],-0.6779420971870422,[2],ok
506,[0],[0],[3],-0.18518517911434174,[1],ok
507,[4],[5],[4],-0.18518517911434174,[2],ok
508,[1],[1],[3],-0.8085393905639648,[2],ok
509,[1],[4],[0],-0.21568626165390015,[0],ok
510,[2],[2],[3],-0.6890645027160645,[2],ok
511,[1],[2],[3],-0.7399604916572571,[2],ok
512,[5],[2],[3],-0.6787988543510437,[2],ok
513,[1],[2],[3],-0.8237898945808411,[2],ok
514,[1],[2],[3],-0.8135602474212646,[2],ok
515,[3],[1],[2],-0.1818181723356247,[1],ok
516,[1],[3],[1],-0.14141413569450378,[2],ok
517,[1],[2],[3],-0.6669171452522278,[2],ok
518,[0],[2],[4],-0.19819818437099457,[0],ok
519,[1],[5],[3],-0.6454688906669617,[2],ok
520,[4],[1],[0],-0.1874999850988388,[2],ok
